komentar,tokens,cleaned
bagus bangat sesuai dengan yang dingin kan laur biasa,"['bagus', 'bangat', 'sesuai', 'dingin', 'laur']",bagus bangat sesuai dingin laur
"mantap,dengan harga minim dapat produk yang bagus...","['mantap dengan', 'harga', 'minim', 'produk', 'bagus']",mantap dengan harga minim produk bagus
"pas bnget ok lah mantap,,, kurir nya juga ramah,,,","['pas', 'bnget', 'ok', 'mantap', 'kurir', 'ramah']",pas bnget ok mantap kurir ramah
"uk pas,bagus dan enak dipakai","['uk', 'pas bagus', 'pakai']",uk pas bagus pakai
terima kasih barang sesuai dan bagus banget 🤗,"['terima', 'kasih', 'barang', 'sesuai', 'bagus', 'banget', '']",terima kasih barang sesuai bagus banget 
"ko di pake sakit ya bagian tumit sampai atas, mungkin karna bagian belakang sepatu keras jadi waktu ter gesek ke kaki jadi sakit","['ko', 'pake', 'sakit', 'tumit', 'atas', 'karna', 'sepatu', 'keras', 'waktu', 'ter', 'gesek', 'kaki', 'sakit']",ko pake sakit tumit atas karna sepatu keras waktu ter gesek kaki sakit
barang sesuai foto semoga awet,"['barang', 'sesuai', 'foto', 'moga', 'awet']",barang sesuai foto moga awet
mantaaaapppp...barang sesuai pesanan jangan ragu untuk beli produk ini sumpah bagus,"['mantaaaapppp barang', 'sesuai', 'pesan', 'ragu', 'beli', 'produk', 'sumpah', 'bagus']",mantaaaapppp barang sesuai pesan ragu beli produk sumpah bagus
"maaf baru mereview,barang mantap lembut sesuai yang di promosikan,amanah tokonya","['maaf', 'mereview barang', 'mantap', 'lembut', 'sesuai', 'promosi amanah', 'toko']",maaf mereview barang mantap lembut sesuai promosi amanah toko
"rekomended guys, ringan lgi, real pic, mntapp deh pkonya","['rekomended', 'guys', 'ringan', 'lgi', 'real', 'pic', 'mntapp', 'deh', 'pkonya']",rekomended guys ringan lgi real pic mntapp deh pkonya
"bahanya bagus cuma minusnya dilem kurang kuat baru 1 kali dipakai lari,lemnya sudah terbuka","['bahanya', 'bagus', 'minus', 'lem', 'kuat', '1', 'pakai', 'lari lem', 'buka']",bahanya bagus minus lem kuat 1 pakai lari lem buka
"mantap, sukses buat toko nya ,puas banget,dan rekomendasi","['mantap', 'sukses', 'toko', 'puas', 'banget dan', 'rekomendasi']",mantap sukses toko puas banget dan rekomendasi
barang sudah di terimah dengan baik ringan lembut enak di pakai terimah kasih,"['barang', 'terimah', 'ringan', 'lembut', 'pakai', 'terimah', 'kasih']",barang terimah ringan lembut pakai terimah kasih
"sepatunya kekecilan, katanya size 42 insole 28 tapi yang dtng 42 kecil, kaya size 40","['sepatu', 'kecil', 'size', '42', 'insole', '28', 'dtng', '42', 'kecil', 'kaya', 'size', '40']",sepatu kecil size 42 insole 28 dtng 42 kecil kaya size 40
"sepatu nya bagus , modelnya trendy cuma kekurangannya di solnya yang keras tidak empuk..mudah mudahan awet barangnya 👍🙏","['sepatu', 'bagus', '', 'model', 'trendy', 'kurang', 'sol', 'keras', 'empuk mudah', 'mudah', 'awet', 'barang', '']",sepatu bagus  model trendy kurang sol keras empuk mudah mudah awet barang 
trima kasih kk sudah amanah pokonya g kecewa mantap barang nya asli ril sesuai yang di review,"['trima', 'kasih', 'kk', 'amanah', 'poko', 'kecewa', 'mantap', 'barang', 'asli', 'ril', 'sesuai', 'review']",trima kasih kk amanah poko kecewa mantap barang asli ril sesuai review
"pengiriman cepat sepatunya keren, enak di pakai","['kirim', 'cepat', 'sepatu', 'keren', 'pakai']",kirim cepat sepatu keren pakai
sudah saya terima barang nya sesuai yang di pesan. cocok untuk pakai olahraga. terima kasih sukses trus.🔥🥰🙏,"['terima', 'barang', 'sesuai', 'pesan', 'cocok', 'pakai', 'olahraga', 'terima', 'kasih', 'sukses', 'trus']",terima barang sesuai pesan cocok pakai olahraga terima kasih sukses trus
mantap... barang nya kalau bisa pakai tali serut biar keren,"['mantap', 'barang', 'pakai', 'tali', 'serut', 'biar', 'keren']",mantap barang pakai tali serut biar keren
bagus sayang ukuran habis yang besar,"['bagus', 'sayang', 'ukur', 'habis']",bagus sayang ukur habis
baru di pake satu kali lem nya sudah kebuka😢,"['pake', 'lem', 'buka']",pake lem buka
barang sesuai pesanan sya suka banget semoga awet 👍👍,"['barang', 'sesuai', 'pesan', 'sya', 'suka', 'banget', 'moga', 'awet', '']",barang sesuai pesan sya suka banget moga awet 
bagus banget sepatunya empuk ku dipake,"['bagus', 'banget', 'sepatu', 'empuk', 'ku', 'dipake']",bagus banget sepatu empuk ku dipake
sepatunya kanan semua,"['sepatu', 'kanan']",sepatu kanan
sangat bagus. semuanya cocok,"['bagus', 'cocok']",bagus cocok
bagus produk lokal bagus,"['bagus', 'produk', 'lokal', 'bagus']",bagus produk lokal bagus
bentuk dan ukuran: bagus dan berkualitas,"['bentuk', 'ukur', 'bagus', 'kualitas']",bentuk ukur bagus kualitas
ngus brang ceet smapek,"['ngus', 'brang', 'ceet', 'smapek']",ngus brang ceet smapek
"bagus, cocok buat harian","['bagus', 'cocok', 'hari']",bagus cocok hari
barang nya mantap dan bang kurir juga amanah,"['barang', 'mantap', 'bang', 'kurir', 'amanah']",barang mantap bang kurir amanah
sy puas,"['sy', 'puas']",sy puas
bagus dan ukuran nya pas enak di pakai,"['bagus', 'ukur', 'pas', 'pakai']",bagus ukur pas pakai
mines nya cuman tidak empuk di video empuk,"['mes', 'cuman', 'empuk', 'video', 'empuk']",mes cuman empuk video empuk
keren moga awet terimakasih 🙏 mau beli lagi buat anak .. kurir ramah,"['keren', 'moga', 'awet', 'terimakasih', '', 'beli', 'anak', '', 'kurir', 'ramah']",keren moga awet terimakasih  beli anak  kurir ramah
barang bagus dan sesuai.. ukuran pas,"['barang', 'bagus', 'sesuai', 'ukur', 'pas']",barang bagus sesuai ukur pas
bagus dan di pake ringan..mantap,"['bagus', 'pake', 'ringan mantap']",bagus pake ringan mantap
barangnya pas,"['barang', 'pas']",barang pas
mantap dan ukurannya pas sesuai pesanan,"['mantap', 'ukur', 'pas', 'sesuai', 'pesan']",mantap ukur pas sesuai pesan
"ringan dan elagan sepatu nya, terimakasih","['ringan', 'elagan', 'sepatu', 'nya', 'terimakasih']",ringan elagan sepatu nya terimakasih
sangat memuaskan minn untuk spatu dengan harga segini,"['muas', 'minn', 'spatu', 'harga', 'gin']",muas minn spatu harga gin
"model yang modern, stylish nyaman dipakai","['model', 'modern', 'stylish', 'nyaman', 'pakai']",model modern stylish nyaman pakai
mantap sepatunya bang.. sesuai...,"['mantap', 'sepatu', 'bang', 'sesuai']",mantap sepatu bang sesuai
bagus tapi ada yang kurang kalau pas lari,"['bagus', 'pas', 'lari']",bagus pas lari
terima kasih sudah paket datang dengan baik 👍 suka ama sepatunya semoga aja awet,"['terima', 'kasih', 'paket', '', 'suka', 'ama', 'sepatu', 'moga', 'aja', 'awet']",terima kasih paket  suka ama sepatu moga aja awet
bener enteng enak di pakai semoga awet😎,"['bener', 'enteng', 'pakai', 'moga', 'awet']",bener enteng pakai moga awet
barang nya! nyaman sesuai pesanan,"['barang', 'nya', 'nyaman', 'sesuai', 'pesan']",barang nya nyaman sesuai pesan
"brang sudah sampai tepat waktu, brang nya bagus dan keren trima kasih seller","['brang', 'waktu', 'brang', 'bagus', 'keren', 'trima', 'kasih', 'seller']",brang waktu brang bagus keren trima kasih seller
produk sangat keren bagus mantap 👍👍👍,"['produk', 'keren', 'bagus', 'mantap', '']",produk keren bagus mantap 
barang bagus cuman pengiriman yang lama,"['barang', 'bagus', 'cuman', 'kirim']",barang bagus cuman kirim
ukurannya kegedean sedikit gapapa lahhh,"['ukur', 'gede', 'gapapa', 'lahhh']",ukur gede gapapa lahhh
sesuai pesanan dan barang bagus,"['sesuai', 'pesan', 'barang', 'bagus']",sesuai pesan barang bagus
"barang nya bagus, sesuai sama pesanan.","['barang', 'bagus', 'sesuai', 'pesan']",barang bagus sesuai pesan
udah sampek barangnyaa sepatunyaa baguss semoga awet wkwkw,"['udah', 'sampek', 'barangnyaa', 'sepatunyaa', 'baguss', 'moga', 'awet', 'wkwkw']",udah sampek barangnyaa sepatunyaa baguss moga awet wkwkw
sumpah keren. lembut dn nyaman di pke,"['sumpah', 'keren', 'lembut', 'dn', 'nyaman', 'pke']",sumpah keren lembut dn nyaman pke
"finising nya kurang bagus, tpi okelah","['finising', 'bagus', 'tpi', 'oke']",finising bagus tpi oke
ya kana 43 yang kiri 41 kecewa,"['kana', '43', 'kiri', '41', 'kecewa']",kana 43 kiri 41 kecewa
kerenn nyaman di pakai jogging..,"['kerenn', 'nyaman', 'pakai', 'jogging']",kerenn nyaman pakai jogging
"barang bagus,cuma lmbat pengiriman","['barang', 'bagus cuma', 'lmbat', 'kirim']",barang bagus cuma lmbat kirim
sangat baguss dan pengiriman cepat,"['baguss', 'kirim', 'cepat']",baguss kirim cepat
bagus banget harga 120 ini kemurahan,"['bagus', 'banget', 'harga', '120', 'murah']",bagus banget harga 120 murah
bru nyampe paketanya baguuus enteng mudah2an awet,"['bru', 'nyampe', 'paketanya', 'baguuus', 'enteng', 'mudah2an', 'awet']",bru nyampe paketanya baguuus enteng mudah2an awet
barang nya bagus yaman di gawe,"['barang', 'bagus', 'yaman', 'gawe']",barang bagus yaman gawe
"makasih kak, pesanan sudah sampai. bagus sepatunya keren....","['makasih', 'kak', 'pesan', 'sampai', 'bagus', 'sepatu', 'keren']",makasih kak pesan sampai bagus sepatu keren
alhamdulillah sudah sampe barang nya bagus dengan harga segitu,"['alhamdulillah', 'sampe', 'barang', 'bagus', 'harga', 'segitu']",alhamdulillah sampe barang bagus harga segitu
"untuk barang smpai ke pengirimiannya kurang baikk,saya pesan warna lain yang datang lainn trus untuk pengirimannya lama bangett,kecewa banget","['barang', 'smpai', 'pengirimiannya', 'baikk saya', 'pesan', 'warna', 'lainn', 'trus', 'kirim', 'bangett kecewa', 'banget']",barang smpai pengirimiannya baikk saya pesan warna lainn trus kirim bangett kecewa banget
alhamdulillah paket dah sampe.... sepatu nya ok,"['alhamdulillah', 'paket', 'dah', 'sampe', 'sepatu', 'ok']",alhamdulillah paket dah sampe sepatu ok
kualitas nya bagus👍👍👍,"['kualitas', 'bagus']",kualitas bagus
sesuai expectasi dan bagus 👍,"['sesuai', 'expectasi', 'bagus', '']",sesuai expectasi bagus 
tidak di ragukan lagi,['ragu'],ragu
bentuk dan ukuran: 43 kekecilan,"['bentuk', 'ukur', '43', 'kecil']",bentuk ukur 43 kecil
talinya tidak cocok,"['tali', 'cocok']",tali cocok
bagus pengiriman sangat cepat,"['bagus', 'kirim', 'cepat']",bagus kirim cepat
bhannya bgus sma brangnya,"['bhannya', 'bgus', 'sma', 'brangnya']",bhannya bgus sma brangnya
bagus ok spatu ny,"['bagus', 'ok', 'spatu', 'ny']",bagus ok spatu ny
bagus semoga toko nya sukses terus dan amanah ya,"['bagus', 'moga', 'toko', 'sukses', 'amanah']",bagus moga toko sukses amanah
barang nya mantap bang tpi belum saya coba semoga awet lah buat lari,"['barang', 'mantap', 'bang', 'tpi', 'coba', 'moga', 'awet', 'lari']",barang mantap bang tpi coba moga awet lari
ukuran pas sesuai pesanan..keren,"['ukur', 'pas', 'sesuai', 'pesan keren']",ukur pas sesuai pesan keren
"kereenn,, bagus","['kereenn', 'bagus']",kereenn bagus
bagus banget sesuai,"['bagus', 'banget', 'sesuai']",bagus banget sesuai
barangnya sangat² bagus..... 👍,"['barang', 'sangat', 'bagus', '']",barang sangat bagus 
ukuran sesuai... ringan.. semoga awet,"['ukur', 'sesuai', 'ringan', 'moga', 'awet']",ukur sesuai ringan moga awet
mantap anak ku senang dgn spatu nya sesuai,"['mantap', 'anak', 'ku', 'senang', 'dgn', 'spatu', 'sesuai']",mantap anak ku senang dgn spatu sesuai
bagus barangan nya semoga awet,"['bagus', 'barangan', 'moga', 'awet']",bagus barangan moga awet
pas dan mantap 🔥,"['pas', 'mantap', '']",pas mantap 
"mantap ,sesuai harga","['mantap', 'sesuai', 'harga']",mantap sesuai harga
minus kaya di bakar sepatunya,"['minus', 'kaya', 'bakar', 'sepatu']",minus kaya bakar sepatu
sumpah bagus bett,"['sumpah', 'bagus', 'bett']",sumpah bagus bett
barang bener bagus suami q lgsg suka makasih ya 👍🙏,"['barang', 'bener', 'bagus', 'suami', 'lgsg', 'suka', 'makasih', '']",barang bener bagus suami lgsg suka makasih 
alhamdulillah paket sudah smpai.... mantaap. bgus. muda²hn awet...,"['alhamdulillah', 'paket', 'smpai', 'mantaap', 'bgus', 'muda hn', 'awet']",alhamdulillah paket smpai mantaap bgus muda hn awet
bintang 5 sesuai dgn kualitasnya,"['bintang', '5', 'sesuai', 'dgn', 'kualitas']",bintang 5 sesuai dgn kualitas
mantapp realpic tidak bkalan nyesel deh,"['mantapp', 'realpic', 'bkalan', 'nyesel', 'deh']",mantapp realpic bkalan nyesel deh
mantap untuk harga segini,"['mantap', 'harga', 'gin']",mantap harga gin
ok sepatunya ringan sekali semoga awet,"['ok', 'sepatu', 'ringan', 'moga', 'awet']",ok sepatu ringan moga awet
"bagus,tpi lemnya kurang rapi","['bagus tpi', 'lem', 'rapi']",bagus tpi lem rapi
mantff bagus barang nya .semga awett,"['mantff', 'bagus', 'barang', 'semga', 'awett']",mantff bagus barang semga awett
terimakasih kak sepatunyaa bagus banget sukakkk😍😍😍,"['terimakasih', 'kak', 'sepatunyaa', 'bagus', 'banget', 'sukakkk']",terimakasih kak sepatunyaa bagus banget sukakkk
"mantap kali kak, ringan bagusss","['mantap', 'kak', 'ringan', 'bagusss']",mantap kak ringan bagusss
baguss nyaman dipakai,"['baguss', 'nyaman', 'pakai']",baguss nyaman pakai
bagus dan nyaman sekali,"['bagus', 'nyaman']",bagus nyaman
josss,['josss'],josss
superrr superr superr mantaullll bossque..,"['superrr', 'superr', 'superr', 'mantaullll', 'bossque']",superrr superr superr mantaullll bossque
bagus mantap good joob,"['bagus', 'mantap', 'good', 'joob']",bagus mantap good joob
bagus bentuk dan ukuran: 43,"['bagus', 'bentuk', 'ukur', '43']",bagus bentuk ukur 43
belum dicoba tapi mantap,"['coba', 'mantap']",coba mantap
melebihi expectasi good job,"['lebih', 'expectasi', 'good', 'job']",lebih expectasi good job
barangnya memuakan,"['barang', 'mua']",barang mua
keren sepatunya ori,"['keren', 'sepatu', 'ori']",keren sepatu ori
bagus dan keren tidak mengecewakan,"['bagus', 'keren', 'kecewa']",bagus keren kecewa
murah dan berkualitas,"['murah', 'kualitas']",murah kualitas
lumayan lah dengan bajet segituh,"['lumayan', 'bajet', 'segituh']",lumayan bajet segituh
bagus bangett,"['bagus', 'bangett']",bagus bangett
bagus sesuai ringan,"['bagus', 'sesuai', 'ringan']",bagus sesuai ringan
sepatu ya mantap pas di kaki,"['sepatu', 'mantap', 'pas', 'kaki']",sepatu mantap pas kaki
bagus enak dipakai,"['bagus', 'pakai']",bagus pakai
lmyan bagus untuk harga sgtu,"['lmyan', 'bagus', 'harga', 'sgtu']",lmyan bagus harga sgtu
"bagus, produk sesuai","['bagus', 'produk', 'sesuai']",bagus produk sesuai
product the best 👍,"['product', 'the', 'best', '']",product the best 
ukuran 41 nya kecil,"['ukur', '41']",ukur 41
bagus pokoknya,"['bagus', 'pokok']",bagus pokok
bagus.. pas ukurannya,"['bagus', 'pas', 'ukur']",bagus pas ukur
sesuai dengan harga.,"['sesuai', 'harga']",sesuai harga
barang nya beneran bagus,"['barang', 'beneran', 'bagus']",barang beneran bagus
barang siipo,"['barang', 'siipo']",barang siipo
tak rugilah harga segitu,"['rugi', 'harga', 'segitu']",rugi harga segitu
lumayan bagus untuk harga segitu,"['lumayan', 'bagus', 'harga', 'segitu']",lumayan bagus harga segitu
pas dan cocok,"['pas', 'cocok']",pas cocok
mantap kak.,"['mantap', 'kak']",mantap kak
"oke, semoga awettt.","['oke', 'moga', 'awettt']",oke moga awettt
"keren banget,,,saya suka terima kasih","['keren', 'banget saya', 'suka', 'terima', 'kasih']",keren banget saya suka terima kasih
mantap banget cok,"['mantap', 'banget', 'cok']",mantap banget cok
"bagus, ringan, semoga awet","['bagus', 'ringan', 'moga', 'awet']",bagus ringan moga awet
kualitas sesuai harga,"['kualitas', 'sesuai', 'harga']",kualitas sesuai harga
bagus spatu nya 👍👍👍👍,"['bagus', 'spatu', '']",bagus spatu 
keren bos,"['keren', 'bos']",keren bos
iy keren,"['iy', 'keren']",iy keren
bagus bgtt ringan lgi,"['bagus', 'bgtt', 'ringan', 'lgi']",bagus bgtt ringan lgi
barangnya bagus dan mantap,"['barang', 'bagus', 'mantap']",barang bagus mantap
bentuk dan ukuran: keren,"['bentuk', 'ukur', 'keren']",bentuk ukur keren
bagus dan murah,"['bagus', 'murah']",bagus murah
keren sesuai pesenan mantap pokoknya,"['keren', 'sesuai', 'sen', 'mantap', 'pokok']",keren sesuai sen mantap pokok
mantap 🤩,"['mantap', '']",mantap 
enak dipakai,['pakai'],pakai
bagus ringan,"['bagus', 'ringan']",bagus ringan
mantab makasih barang nya bagus,"['mantab', 'makasih', 'barang', 'bagus']",mantab makasih barang bagus
gacor le ringan juga,"['gacor', 'le', 'ringan']",gacor le ringan
"kekecilan,tidak bisa di retur","['kecil tidak', 'retur']",kecil tidak retur
sip pokonmah puasssssssss😁👍👍👍,"['sip', 'pokonmah', 'puasssssssss']",sip pokonmah puasssssssss
keren bgttt😍😍🥰🥰,"['keren', 'bgttt']",keren bgttt
bagus bos,"['bagus', 'bos']",bagus bos
barang ok dan mantap,"['barang', 'ok', 'mantap']",barang ok mantap
cocok banget,"['cocok', 'banget']",cocok banget
pengeleman kurang rapi,"['lem', 'rapi']",lem rapi
enak banget sepatu,"['banget', 'sepatu']",banget sepatu
moga awet,"['moga', 'awet']",moga awet
mantap seller,"['mantap', 'seller']",mantap seller
kekecilan,['kecil'],kecil
paket dh terima..baguss sih.. mudah2an awet lah..,"['paket', 'dh', 'terima baguss', 'sih', 'mudah2an', 'awet', 'lah']",paket dh terima baguss sih mudah2an awet lah
bagus ko,"['bagus', 'ko']",bagus ko
barang nya bagus lah,"['barang', 'bagus']",barang bagus
oke .. cocok sepatune,"['oke', '', 'cocok', 'sepatune']",oke  cocok sepatune
bagus laah sesuai harga,"['bagus', 'laah', 'sesuai', 'harga']",bagus laah sesuai harga
warna kuning tidak tahan,"['warna', 'kuning', 'tahan']",warna kuning tahan
lumayan dengan harga segini.,"['lumayan', 'harga', 'gin']",lumayan harga gin
sepatunya kerennnn....,"['sepatu', 'kerennnn']",sepatu kerennnn
keren browwwwww🔥,"['keren', 'browwwwww']",keren browwwwww
bgus bingitzz real pick,"['bgus', 'bingitzz', 'real', 'pick']",bgus bingitzz real pick
barang 👍baguss,"['barang', 'baguss']",barang baguss
bagus sesuai denggan harga.,"['bagus', 'sesuai', 'denggan', 'harga']",bagus sesuai denggan harga
bagus barangnya,"['bagus', 'barang']",bagus barang
ringan,['ringan'],ringan
mantap pokok nya anak saya suka,"['mantap', 'pokok', 'anak', 'suka']",mantap pokok anak suka
bagus dan mantap,"['bagus', 'mantap']",bagus mantap
barang nyah baguss mkasih kaa,"['barang', 'nyah', 'baguss', 'mkasih', 'kaa']",barang nyah baguss mkasih kaa
sesuai harga bagus,"['sesuai', 'harga', 'bagus']",sesuai harga bagus
bagusss keren dengan harga segini,"['bagusss', 'keren', 'harga', 'gin']",bagusss keren harga gin
mantaaap sepatu nya ringan,"['mantaaap', 'sepatu', 'ringan']",mantaaap sepatu ringan
38 nya kebesaran,"['38', 'besar']",38 besar
"bagus sepatu y mudah2n awet,","['bagus', 'sepatu', 'mudah2n', 'awet']",bagus sepatu mudah2n awet
baguss bnget,"['baguss', 'bnget']",baguss bnget
pas...mantap...good job.......,"['pas mantap good', 'job']",pas mantap good job
39 uk oke,"['39', 'uk', 'oke']",39 uk oke
ukuran pas lumayan,"['ukur', 'pas', 'lumayan']",ukur pas lumayan
okey sesuai hrga..,"['okey', 'sesuai', 'hrga']",okey sesuai hrga
bagus ama,"['bagus', 'ama']",bagus ama
mantap baaangggg.. cocok,"['mantap', 'baaangggg', 'cocok']",mantap baaangggg cocok
barang sesuai harga,"['barang', 'sesuai', 'harga']",barang sesuai harga
kebesaran,['besar'],besar
cocok,['cocok'],cocok
muntappp bagus sekali,"['muntappp', 'bagus']",muntappp bagus
bagusss... pengiriman cepat..,"['bagusss', 'kirim', 'cepat']",bagusss kirim cepat
bagus recomend,"['bagus', 'recomend']",bagus recomend
bagus bangat sepatunya,"['bagus', 'bangat', 'sepatu']",bagus bangat sepatu
bagus poll,"['bagus', 'poll']",bagus poll
sesuai barang. mantul,"['sesuai', 'barang', 'mantul']",sesuai barang mantul
mantap sepatunya bagus,"['mantap', 'sepatu', 'bagus']",mantap sepatu bagus
bagus banget coookkk,"['bagus', 'banget', 'coookkk']",bagus banget coookkk
bagus mantap,"['bagus', 'mantap']",bagus mantap
gud,['gud'],gud
mantul barang nya,"['mantul', 'barang']",mantul barang
bgus bnget,"['bgus', 'bnget']",bgus bnget
bagus realpic,"['bagus', 'realpic']",bagus realpic
sepatunya oke banget kk,"['sepatu', 'oke', 'banget', 'kk']",sepatu oke banget kk
sesuai dengan harga....,"['sesuai', 'harga']",sesuai harga
mantap bangat,"['mantap', 'bangat']",mantap bangat
mantapp bagus sepatu nya,"['mantapp', 'bagus', 'sepatu']",mantapp bagus sepatu
kurang puas,['puas'],puas
sptu bgus bnget..,"['sptu', 'bgus', 'bnget']",sptu bgus bnget
sangat puas dengan sepatunya,"['puas', 'sepatu']",puas sepatu
mantap barangnya bintang yang berbicara,"['mantap', 'barang', 'bintang', 'bicara']",mantap barang bintang bicara
tap,['tap'],tap
cakepp,['cakepp'],cakepp
lumayaah untuk harga segitu,"['lumayaah', 'harga', 'segitu']",lumayaah harga segitu
topp,['topp'],topp
keren.. sesuai,"['keren', 'sesuai']",keren sesuai
mantaappp,['mantaappp'],mantaappp
pas bgtt,"['pas', 'bgtt']",pas bgtt
keren tidak kecewa,"['keren', 'kecewa']",keren kecewa
"saat di pasang kartu di matiin tidak bisa hidup lge, tapi senang karena penjual tanggung jawab dsn sudah di ganti dengan yang baru dan semoga awet","['pasang', 'kartu', 'matiin', 'hidup', 'lge', 'senang', 'jual', 'tanggung', 'dsn', 'ganti', 'moga', 'awet']",pasang kartu matiin hidup lge senang jual tanggung dsn ganti moga awet
"barang sesuai pesenan buka segel kerdus, mudah""asli, bisa di pake awet tahan lama, toko amanah, kurir ramah, trimakasih","['barang', 'sesuai', 'sen', 'buka', 'segel', 'kerdus', 'mudah asli', 'pake', 'awet', 'tahan', 'lama', 'toko', 'amanah', 'kurir', 'ramah', 'trimakasih']",barang sesuai sen buka segel kerdus mudah asli pake awet tahan lama toko amanah kurir ramah trimakasih
okeh barang nya tapi sayang kalo stok warna tidak raady jangan di cantumkan klo bisa warna random jangan ada pilihan warna pas dikirim tidak sesuai apa yang dipilih sedikit kecewa tapi okeh barangnya,"['okeh', 'barang', 'sayang', 'kalo', 'stok', 'warna', 'raady', 'cantum', 'klo', 'warna', 'random', 'pilih', 'warna', 'pas', 'kirim', 'sesuai', 'pilih', 'kecewa', 'okeh', 'barang']",okeh barang sayang kalo stok warna raady cantum klo warna random pilih warna pas kirim sesuai pilih kecewa okeh barang
"barang masih segel waktu sampai, dikemas dengan baik. semua berfungsi dengan baik. terimakasih 🙏🏻","['barang', 'segel', 'waktu', 'sampai', 'kemas', 'baik', 'fungsi', 'baik', 'terimakasih', '']",barang segel waktu sampai kemas baik fungsi baik terimakasih 
"lumayan bagus, cuma kamera belakang nya buram.","['lumayan', 'bagus', 'kamera', 'buram']",lumayan bagus kamera buram
hpnya berfungsi normal tapi layar hp seperti yang sudah dipasang protector tapi pemasangan tidak rapih ada bebrp bubble dan tidak rata,"['hpnya', 'fungsi', 'normal', 'layar', 'hp', 'pasang', 'protector', 'pasang', 'rapih', 'bebrp', 'bubble', 'rata']",hpnya fungsi normal layar hp pasang protector pasang rapih bebrp bubble rata
"barang masih d segel, packing rapi, semoga awet","['barang', 'segel', 'packing', 'rapi', 'moga', 'awet']",barang segel packing rapi moga awet
barang diterima dgn packing rapih dan aman. lansung di-test dan wookee bingits sesuai pesenan. terimakasih yah,"['barang', 'terima', 'dgn', 'packing', 'rapih', 'aman', 'lansung', 'di-test', 'wookee', 'bingits', 'sesuai', 'sen', 'terimakasih', 'yah']",barang terima dgn packing rapih aman lansung di-test wookee bingits sesuai sen terimakasih yah
setelah sebulan pemakaian tiba2 wa dideteksi app tidak resmi dan reset setting pabrik/factory reset pun sama hasilnya. selain itu oke kondisi mulus serta semua lengkap,"['bulan', 'pakai', 'tiba2', 'wa', 'deteksi', 'app', 'resmi', 'reset', 'setting', 'pabrik factory', 'reset', 'hasil', 'oke', 'kondisi', 'mulus', 'lengkap']",bulan pakai tiba2 wa deteksi app resmi reset setting pabrik factory reset hasil oke kondisi mulus lengkap
"dikirim cepat, packing dan shipping baik sekali. hp bagus juga, hasil kamera sedikit gelap, butuh dicerahkan secara manual setiap gambar.","['kirim', 'cepat', 'packing', 'shipping', 'sekali', 'hp', 'bagus', 'juga', 'hasil', 'kamera', 'gelap', 'butuh', 'cerah', 'manual', 'gambar']",kirim cepat packing shipping sekali hp bagus juga hasil kamera gelap butuh cerah manual gambar
"hp saat dinyalakan muncul error, aplikasi wa tidak bsa, hp saya kirim balik ke seller utk claim garansi perbaikan, sudah 2 minggu tidak di kirim balik ke saya lagi, katanya proses perbaikan 7 hari kerja., ini sudah kelewatan, saya chat berkali-kali tidak di respon oleh seller, hati2 dengan toko ini!!!! kalo hp saya dibalikin sya akan ubah penilaiannya !!! saya tidak ikhlas, klo kamu penipu, allah swt akan membalas kamu di dunia dan akhirat!!! saya tidak akan maafkan kamu!!!","['hp', 'nyala', 'muncul', 'error', 'aplikasi', 'wa', 'bsa', 'hp', 'kirim', 'seller', 'utk', 'claim', 'garansi', 'baik', '2', 'minggu', 'kirim', 'lagi', 'proses', 'baik', '7', 'kerja', 'lewat', 'chat', 'respon', 'seller', 'hati2', 'toko', 'ini', 'kalo', 'hp', 'dibalikin', 'sya', 'ubah', 'nilai', '', 'ikhlas', 'klo', 'tipu', 'allah', 'swt', 'balas', 'dunia', 'akhirat', 'maaf', 'kamu']",hp nyala muncul error aplikasi wa bsa hp kirim seller utk claim garansi baik 2 minggu kirim lagi proses baik 7 kerja lewat chat respon seller hati2 toko ini kalo hp dibalikin sya ubah nilai  ikhlas klo tipu allah swt balas dunia akhirat maaf kamu
hp kw. tidak bisa di gunakan untuk wa ( aplikasi whatsapp). ......hp bermasalah,"['hp', 'kw', 'wa', '', 'aplikasi', 'whatsapp', 'hp', 'masalah']",hp kw wa  aplikasi whatsapp hp masalah
"barang tidak sesuai spesifikaai, di etalase dan di kardus disebut barang dg kapasitas ram 8 gb/256 gb...realita sebenarnya hanya 3gb/64gb","['barang', 'sesuai', 'spesifikaai', 'etalase', 'kardus', 'barang', 'dg', 'kapasitas', 'ram', '8', 'gb 256', 'gb realita', '3gb 64gb']",barang sesuai spesifikaai etalase kardus barang dg kapasitas ram 8 gb 256 gb realita 3gb 64gb
