komentar,tokens,cleaned
"lumayan, sesuai harga, ringan sayang talinya sangat kecil","['lumayan', 'sesuai', 'harga', 'ringan', 'sayang', 'tali']",lumayan sesuai harga ringan sayang tali
bentuk dan ukuran: pas aroma: wangi daya tahan pakai: semoga tahan laama,"['bentuk', 'ukur', 'pas', 'aroma', 'wangi', 'daya', 'tahan', 'pakai', 'moga', 'tahan', 'laama']",bentuk ukur pas aroma wangi daya tahan pakai moga tahan laama
"barangnya bagus, foto sesuai dgn aslinya,, real","['barang', 'bagus', 'foto', 'sesuai', 'dgn', 'asli', 'real']",barang bagus foto sesuai dgn asli real
pesanan sudah sampai pengiriman sedikit terlambat tapi gpp lah sepatunya sesuai gambar tapi ada dikit benang yang tidak rapi di sepatu sebla kiri tapi ggp lumayan baguss maatap,"['pesan', 'kirim', 'lambat', 'gpp', 'sepatu', 'sesuai', 'gambar', 'dikit', 'benang', 'rapi', 'sepatu', 'sebla', 'kiri', 'ggp', 'lumayan', 'baguss', 'maatap']",pesan kirim lambat gpp sepatu sesuai gambar dikit benang rapi sepatu sebla kiri ggp lumayan baguss maatap
untuk hrg 65k rumayan tapi sayang tdk sesuai gambar untuk tali nya d gambar tali putih yang dtg abu2 meski tdk 100%sama gambar tapi rumayan lah hrg segitu..mks toko lain kali yang sesuai ok suxses selalu dah..,"['hrg', '65k', 'rumayan', 'sayang', 'tdk', 'sesuai', 'gambar', 'tali', 'gambar', 'tali', 'putih', 'dtg', 'abu2', 'tdk', '100 sama', 'gambar', 'rumayan', 'hrg', 'segitu mks', 'toko', 'sesuai', 'ok', 'suxses', 'dah']",hrg 65k rumayan sayang tdk sesuai gambar tali gambar tali putih dtg abu2 tdk 100 sama gambar rumayan hrg segitu mks toko sesuai ok suxses dah
bentuk bagus dan ukuranya pas sekali mudah mudahan daya pakai nya kuat terima kasih,"['bentuk', 'bagus', 'ukuranya', 'pas', 'mudah', 'mudah', 'daya', 'pakai', 'kuat', 'terima', 'kasih']",bentuk bagus ukuranya pas mudah mudah daya pakai kuat terima kasih
"barang sesuai pesanan, trnyata kekecilan dikit saya pesen ukuran 40.. tau gitu pesen yang ukuran 41.. dengan harga segitu okelah","['barang', 'sesuai', 'pesan', 'trnyata', 'kecil', 'dikit', 'sen', 'ukur', '40', 'tau', 'gitu', 'sen', 'ukur', '41', 'harga', 'segitu', 'oke']",barang sesuai pesan trnyata kecil dikit sen ukur 40 tau gitu sen ukur 41 harga segitu oke
"barang sesuai gambar. & kualitas nya baik dengan harga segitu, next order lagi yang warna hitam nya","['barang', 'sesuai', 'gambar', '', 'kualitas', 'harga', 'segitu', 'next', 'order', 'warna', 'hitam']",barang sesuai gambar  kualitas harga segitu next order warna hitam
"bagian belakang lem nya ada yang lepas harus di sol/jahit lagi spy lebih kuat, catnya agak kurang rapi, dg harga segitu ya wajarlah.","['lem', 'lepas', 'sol jahit', 'spy', 'kuat', 'cat', 'rapi', 'dg', 'harga', 'segitu', 'wajar']",lem lepas sol jahit spy kuat cat rapi dg harga segitu wajar
"sangat bagus sesuai pesanan,, semoga awet dan amanah,kurir bagus terpercaya,, makasih buat toko dan kurir dan jug aplikasi ini...","['bagus', 'sesuai', 'pesan', 'moga', 'awet', 'amanah kurir', 'bagus', 'percaya', 'makasih', 'toko', 'kurir', 'jug', 'aplikasi', 'ini']",bagus sesuai pesan moga awet amanah kurir bagus percaya makasih toko kurir jug aplikasi ini
