K,Fold,Epoch,Batch,Dropout,Train Accuracy,Val Accuracy,Test Accuracy,Train Loss,Val Loss,Precision,Recall,F1_Score_Asli,F1_Score_Palsu,F1_Macro,Confusion_Flat
3,1,30,16,0.2,0.8964375257492065,0.8854524493217468,0.8698140382766724,0.2525007128715515,0.2877934277057647,0.892479032708724,0.8854524627720504,0.9153259949195596,0.8230088495575221,0.8691674222385408,"[[2162, 272], [128, 930]]"
3,2,30,16,0.2,0.6655251383781433,0.680607259273529,0.6795421838760376,0.6349222660064697,0.6411048769950867,0.6445488308362518,0.6806072758521914,0.7905316550817209,0.3279083785412899,0.5592200168115053,"[[2104, 329], [786, 272]]"
3,3,30,16,0.2,0.8295661807060242,0.8189630508422852,0.8268955945968628,0.3990896344184875,0.4025158882141113,0.8544478655143333,0.8189630478372959,0.858105074090705,0.75,0.8040525370453525,"[[1911, 522], [110, 948]]"
3,1,30,16,0.3,0.8958666324615479,0.8785796165466309,0.8726752400398254,0.2489599585533142,0.2820843756198883,0.8871891632283286,0.8785796105383734,0.9098639455782312,0.8140350877192982,0.8619495166487647,"[[2140, 294], [130, 928]]"
3,2,30,16,0.3,0.8941780924797058,0.8496133089065552,0.8769670724868774,0.2526022493839264,0.3295228183269501,0.8766669377168677,0.8496132913205385,0.8837209302325582,0.7871909201459262,0.8354559251892422,"[[1995, 438], [87, 971]]"
3,3,30,16,0.3,0.890753448009491,0.8728157877922058,0.8869814276695251,0.2574291229248047,0.2907437086105346,0.8770887232101042,0.8728158120882269,0.9069572506286672,0.7990950226244344,0.8530261366265508,"[[2164, 269], [175, 883]]"
3,1,30,16,0.5,0.8907284736633301,0.869702160358429,0.8483548164367676,0.2641032338142395,0.2874797582626343,0.8835949288043694,0.8697021764032073,0.9019607843137256,0.8058045241143833,0.8538826542140545,"[[2093, 341], [114, 944]]"
3,2,30,16,0.5,0.8892694115638733,0.862790048122406,0.8898426294326782,0.2701831758022308,0.3163384795188904,0.8721101571273622,0.8627900315095961,0.8980634177484571,0.7901883486640385,0.8441258832062478,"[[2110, 323], [156, 902]]"
3,3,30,16,0.5,0.8831050395965576,0.862790048122406,0.8583691120147705,0.2830409109592438,0.3268008232116699,0.8764218272009036,0.8627900315095961,0.8968783638320775,0.7950363714163458,0.8459573676242116,"[[2083, 350], [129, 929]]"
3,1,30,32,0.2,0.8770267367362976,0.862829327583313,0.8397710919380188,0.292691022157669,0.3240174353122711,0.8798592060718682,0.8628293241695304,0.8960729008461705,0.7983157894736842,0.8471943451599273,"[[2065, 369], [110, 948]]"
3,2,30,32,0.2,0.8721461296081543,0.8215411305427551,0.8454935550689697,0.3101159036159515,0.4095991551876068,0.8522410864328183,0.8215411057003724,0.8613398620075673,0.7496986741663318,0.8055192680869496,"[[1935, 498], [125, 933]]"
3,3,30,32,0.2,0.8853881359100342,0.8645087480545044,0.8597997426986694,0.2688811719417572,0.309254914522171,0.8807346696180204,0.8645087367516471,0.8975081256771398,0.8001689902830588,0.8488385579800992,"[[2071, 362], [111, 947]]"
