K,Fold,Epoch,Batch,Dropout,Confusion_Flat
10,1,20,16,0.5,"[[633, 97], [28, 290]]"
10,2,20,16,0.5,"[[663, 67], [52, 266]]"
10,3,20,16,0.5,"[[606, 124], [22, 296]]"
10,4,20,16,0.5,"[[642, 88], [44, 274]]"
10,5,20,16,0.5,"[[580, 150], [48, 269]]"
10,6,20,16,0.5,"[[607, 123], [36, 281]]"
10,7,20,16,0.5,"[[621, 109], [32, 285]]"
10,8,20,16,0.5,"[[621, 109], [27, 290]]"
10,9,20,16,0.5,"[[623, 107], [45, 272]]"
10,10,20,16,0.5,"[[626, 104], [62, 255]]"
10,1,20,32,0.2,"[[631, 99], [146, 172]]"
10,2,20,32,0.2,"[[640, 90], [37, 281]]"
10,3,20,32,0.2,"[[646, 84], [55, 263]]"
10,4,20,32,0.2,"[[654, 76], [59, 259]]"
10,5,20,32,0.2,"[[597, 133], [34, 283]]"
10,6,20,32,0.2,"[[584, 146], [32, 285]]"
10,7,20,32,0.2,"[[614, 116], [65, 252]]"
10,8,20,32,0.2,"[[616, 114], [46, 271]]"
10,9,20,32,0.2,"[[629, 101], [35, 282]]"
10,10,20,32,0.2,"[[609, 121], [58, 259]]"
10,1,20,32,0.3,"[[630, 100], [33, 285]]"
10,2,20,32,0.3,"[[643, 87], [40, 278]]"
10,3,20,32,0.3,"[[603, 127], [17, 301]]"
10,4,20,32,0.3,"[[629, 101], [44, 274]]"
10,5,20,32,0.3,"[[596, 134], [32, 285]]"
10,6,20,32,0.3,"[[613, 117], [56, 261]]"
10,7,20,32,0.3,"[[636, 94], [42, 275]]"
10,8,20,32,0.3,"[[623, 107], [34, 283]]"
10,9,20,32,0.3,"[[649, 81], [45, 272]]"
10,10,20,32,0.3,"[[649, 81], [54, 263]]"
10,1,20,32,0.5,"[[613, 117], [30, 288]]"
10,2,20,32,0.5,"[[632, 98], [49, 269]]"
10,3,20,32,0.5,"[[617, 113], [32, 286]]"
10,4,20,32,0.5,"[[601, 129], [35, 283]]"
10,5,20,32,0.5,"[[587, 143], [37, 280]]"
10,6,20,32,0.5,"[[586, 144], [32, 285]]"
10,7,20,32,0.5,"[[623, 107], [39, 278]]"
10,8,20,32,0.5,"[[632, 98], [35, 282]]"
10,9,20,32,0.5,"[[623, 107], [38, 279]]"
10,10,20,32,0.5,"[[620, 110], [49, 268]]"
10,1,20,64,0.2,"[[591, 139], [26, 292]]"
10,2,20,64,0.2,"[[637, 93], [38, 280]]"
10,3,20,64,0.2,"[[640, 90], [43, 275]]"
10,4,20,64,0.2,"[[609, 121], [51, 267]]"
10,5,20,64,0.2,"[[610, 120], [38, 279]]"
10,6,20,64,0.2,"[[645, 85], [54, 263]]"
10,7,20,64,0.2,"[[657, 73], [54, 263]]"
10,8,20,64,0.2,"[[628, 102], [38, 279]]"
10,9,20,64,0.2,"[[622, 108], [36, 281]]"
10,10,20,64,0.2,"[[478, 252], [68, 249]]"
10,1,20,64,0.3,"[[612, 118], [30, 288]]"
10,2,20,64,0.3,"[[621, 109], [52, 266]]"
10,3,20,64,0.3,"[[589, 141], [20, 298]]"
10,4,20,64,0.3,"[[634, 96], [53, 265]]"
10,5,20,64,0.3,"[[620, 110], [41, 276]]"
10,6,20,64,0.3,"[[643, 87], [60, 257]]"
10,7,20,64,0.3,"[[634, 96], [47, 270]]"
10,8,20,64,0.3,"[[613, 117], [25, 292]]"
10,9,20,64,0.3,"[[613, 117], [28, 289]]"
10,10,20,64,0.3,"[[599, 131], [39, 278]]"
10,1,20,64,0.5,"[[633, 97], [33, 285]]"
10,2,20,64,0.5,"[[650, 80], [55, 263]]"
10,3,20,64,0.5,"[[580, 150], [17, 301]]"
10,4,20,64,0.5,"[[591, 139], [29, 289]]"
10,5,20,64,0.5,"[[586, 144], [29, 288]]"
10,6,20,64,0.5,"[[606, 124], [39, 278]]"
10,7,20,64,0.5,"[[639, 91], [57, 260]]"
10,8,20,64,0.5,"[[597, 133], [26, 291]]"
10,9,20,64,0.5,"[[644, 86], [44, 273]]"
10,10,20,64,0.5,"[[620, 110], [61, 256]]"
