K,Fold,Epoch,Batch,Dropout,Label,Precision,Recall,F1-Score,Support
3,3,10,32,0.3,palsu,0.6647523330940417,0.8752362948960303,0.755609955120359,1058.0
3,1,10,32,0.5,asli,0.9380321665089877,0.8147082990961381,0.8720316622691293,2434.0
3,1,10,32,0.5,palsu,0.6727140783744557,0.8761814744801513,0.7610837438423645,1058.0
3,2,10,32,0.5,asli,0.9395416869819601,0.792026304973284,0.85950044603033,2433.0
3,2,10,32,0.5,palsu,0.6486111111111111,0.8827977315689981,0.7477982385908727,1058.0
3,3,10,32,0.5,asli,0.925748502994012,0.635429510891903,0.7535949305386302,2433.0
3,3,10,32,0.5,palsu,0.5129049972542559,0.8827977315689981,0.6488364015283085,1058.0
3,1,10,64,0.2,asli,0.9351073762838469,0.8229252259654889,0.8754370629370629,2434.0
3,1,10,64,0.2,palsu,0.6807407407407408,0.8686200378071833,0.7632890365448505,1058.0
3,2,10,64,0.2,asli,0.9060340856748043,0.8084669132757912,0.8544743701129452,2433.0
3,2,10,64,0.2,palsu,0.646969696969697,0.8071833648393195,0.7182506307821699,1058.0
3,3,10,64,0.2,asli,0.9052242256125751,0.8047677764077271,0.8520452567449956,2433.0
3,3,10,64,0.2,palsu,0.6423192771084337,0.8062381852551985,0.7150041911148366,1058.0
3,1,10,64,0.3,asli,0.9439024390243902,0.794987674609696,0.8630686886708296,2434.0
3,1,10,64,0.3,palsu,0.6539528432732317,0.8913043478260869,0.7544,1058.0
3,2,10,64,0.3,asli,0.8927289048473968,0.8175092478421702,0.8534649216906244,2433.0
3,2,10,64,0.3,palsu,0.6484560570071259,0.774102079395085,0.7057302886686773,1058.0
3,3,10,64,0.3,asli,0.9072450392247347,0.8080558980682285,0.8547826086956521,2433.0
3,3,10,64,0.3,palsu,0.6472809667673716,0.8100189035916824,0.7195633921074727,1058.0
3,1,10,64,0.5,asli,0.8965962947005601,0.8549712407559573,0.8752891692954784,2434.0
3,1,10,64,0.5,palsu,0.6985482493595218,0.7731568998109641,0.7339614176760879,1058.0
3,2,10,64,0.5,asli,0.9191720059142434,0.7665433621043979,0.8359480053787539,2433.0
3,2,10,64,0.5,palsu,0.6114911080711354,0.8449905482041588,0.7095238095238096,1058.0
3,3,10,64,0.5,asli,0.9064439140811456,0.7805178791615289,0.8387809187279152,2433.0
3,3,10,64,0.5,palsu,0.6174785100286533,0.8147448015122873,0.7025264873675632,1058.0
3,1,20,16,0.2,asli,0.9642156862745098,0.8081347576006573,0.8793026374608851,2434.0
3,1,20,16,0.2,palsu,0.678374655647383,0.9310018903591682,0.7848605577689243,1058.0
3,2,20,16,0.2,asli,0.9465364946536494,0.8368269625976161,0.8883071553228621,2433.0
3,2,20,16,0.2,palsu,0.7037313432835821,0.8913043478260869,0.786488740617181,1058.0
3,3,20,16,0.2,asli,0.9061488673139159,0.9206740649404028,0.9133537206931702,2433.0
3,3,20,16,0.2,palsu,0.8105986261040236,0.780718336483932,0.7953779489648531,1058.0
3,1,20,16,0.3,asli,0.9595959595959596,0.8196384552177486,0.8841125637048527,2434.0
3,1,20,16,0.3,palsu,0.689313517338995,0.9206049149338374,0.7883447996762445,1058.0
3,2,20,16,0.3,asli,0.9199486301369864,0.8832716810521989,0.9012371566366114,2433.0
3,2,20,16,0.3,palsu,0.7541125541125541,0.8232514177693762,0.7871667419792138,1058.0
3,3,20,16,0.3,asli,0.9356984478935698,0.8672420879572544,0.9001706484641638,2433.0
3,3,20,16,0.3,palsu,0.738673139158576,0.8629489603024575,0.7959895379250218,1058.0
3,1,20,16,0.5,asli,0.9591060389919163,0.8286770747740345,0.8891337888472559,2434.0
3,1,20,16,0.5,palsu,0.6997840172786177,0.9187145557655955,0.7944421740907234,1058.0
3,2,20,16,0.5,asli,0.9340511440107672,0.8557336621454994,0.8931788931788932,2433.0
3,2,20,16,0.5,palsu,0.7218700475435816,0.8610586011342155,0.7853448275862069,1058.0
3,3,20,16,0.5,asli,0.9323210412147506,0.8832716810521989,0.9071338117349093,2433.0
3,3,20,16,0.5,palsu,0.760539629005059,0.8525519848771267,0.803921568627451,1058.0
3,1,20,32,0.2,asli,0.9419180549302116,0.8594905505341003,0.8988184747583244,2434.0
3,1,20,32,0.2,palsu,0.7309205350118018,0.8780718336483931,0.7977672820953199,1058.0
3,2,20,32,0.2,asli,0.9476464937560038,0.8109330045211672,0.8739756367663345,2433.0
3,2,20,32,0.2,palsu,0.673527324343506,0.8969754253308129,0.7693554925010134,1058.0
3,3,20,32,0.2,asli,0.9443176631675034,0.8503904644471846,0.8948961937716263,2433.0
3,3,20,32,0.2,palsu,0.72,0.8846880907372401,0.7938931297709924,1058.0
3,1,20,32,0.3,asli,0.9514978601997147,0.8221035332785538,0.8820806700462861,2434.0
3,1,20,32,0.3,palsu,0.6882649388048956,0.9035916824196597,0.7813649366571311,1058.0
3,2,20,32,0.3,asli,0.9423791821561338,0.8335388409371147,0.8846237731733915,2433.0
3,2,20,32,0.3,palsu,0.6975354742345033,0.8827977315689981,0.7793074676679183,1058.0
3,3,20,32,0.3,asli,0.8542274052478134,0.36128236744759556,0.5077989601386482,2433.0
3,3,20,32,0.3,palsu,0.3688058489033306,0.8582230623818525,0.5159090909090909,1058.0
3,1,20,32,0.5,asli,0.9435968562182154,0.8385373870172556,0.887970415488362,2434.0
3,1,20,32,0.5,palsu,0.7042889390519187,0.8846880907372401,0.7842480100544617,1058.0
3,2,20,32,0.5,asli,0.928639391056137,0.802301685162351,0.8608599779492834,2433.0
3,2,20,32,0.5,palsu,0.6537077033837293,0.8582230623818525,0.7421332243563548,1058.0
3,3,20,32,0.5,asli,0.9555125725338491,0.8121660501438553,0.8780271050877583,2433.0
3,3,20,32,0.5,palsu,0.6788475052705552,0.9130434782608695,0.7787182587666264,1058.0
3,1,20,64,0.2,asli,0.9403189066059225,0.847986852917009,0.8917692806221647,2434.0
3,1,20,64,0.2,palsu,0.7147262914417888,0.8761814744801513,0.7872611464968153,1058.0
3,2,20,64,0.2,asli,0.9477832512315271,0.790793259350596,0.8622003136903428,2433.0
