K,Fold,Epoch,Batch,Dropout,Train Accuracy,Val Accuracy,Test Accuracy,Train Loss,Val Loss,Precision,Recall,Durasi (detik)
3.0,3.0,30.0,16.0,0.5,0.8918949961662292,0.8604984283447266,0.8497853875160217,0.2547786235809326,0.3422244191169739,0.8750811018051471,0.8604984245201948,605.3768048286438
3.0,1.0,30.0,32.0,0.2,0.8796529173851013,0.8353379368782043,0.8254649639129639,0.2837137281894684,0.37051334977149963,0.8710684898305568,0.8353379152348225,458.3116433620453
3.0,2.0,30.0,32.0,0.2,0.8563926815986633,0.8361501097679138,0.8440629243850708,0.3507973551750183,0.3677423298358917,0.8519064838626323,0.8361501002578058,442.642121553421
3.0,3.0,30.0,32.0,0.2,0.8778538703918457,0.8679461479187012,0.8783977031707764,0.28648748993873596,0.3059774339199066,0.8812201950564413,0.867946147235749,459.4635193347931
3.0,1.0,30.0,32.0,0.3,0.8795387148857117,0.8645475506782532,0.8311874270439148,0.28085699677467346,0.3186865448951721,0.8820748133880495,0.8645475372279496,448.12816619873047
3.0,2.0,30.0,32.0,0.3,0.8833333253860474,0.8433113694190979,0.8540772795677185,0.281795471906662,0.3586101233959198,0.8724463272885685,0.8433113720996849,461.05679750442505
3.0,3.0,30.0,32.0,0.3,0.8811643719673157,0.8788312673568726,0.8769670724868774,0.27798551321029663,0.2880827486515045,0.8853221763996333,0.8788312804354054,457.32693099975586
3.0,1.0,30.0,32.0,0.5,0.8651518821716309,0.8588201403617859,0.8268955945968628,0.3198077082633972,0.32713544368743896,0.8785102517183625,0.8588201603665521,482.60347390174866
3.0,2.0,30.0,32.0,0.5,0.8847032189369202,0.8665139079093933,0.8898426294326782,0.2783864438533783,0.2999543249607086,0.871625687531516,0.8665138928673732,462.4044985771179
3.0,3.0,30.0,32.0,0.5,0.8755707740783691,0.8573474884033203,0.8583691120147705,0.2989594638347626,0.32503852248191833,0.8719593200751091,0.857347464909768,447.5864613056183
3.0,1.0,30.0,64.0,0.2,0.870975136756897,0.873711347579956,0.8655221462249756,0.30809471011161804,0.3030231297016144,0.8810044066567141,0.8737113402061856,386.40845346450806
3.0,2.0,30.0,64.0,0.2,0.872374415397644,0.8607848882675171,0.8826895356178284,0.30841556191444397,0.3156434893608093,0.8600256459904866,0.8607848753938699,402.66788697242737
3.0,3.0,30.0,64.0,0.2,0.8630136847496033,0.8579203486442566,0.8540772795677185,0.3101930618286133,0.32428768277168274,0.8707972996793426,0.8579203666571183,431.5295717716217
3.0,1.0,30.0,64.0,0.3,0.8633249402046204,0.8210194706916809,0.8125894069671631,0.3220902681350708,0.4020993411540985,0.8676638794307932,0.8210194730813287,390.4120771884918
3.0,2.0,30.0,64.0,0.3,0.875,0.8507590889930725,0.8783977031707764,0.30361682176589966,0.3299863040447235,0.8680707595324041,0.8507590948152391,416.12317299842834
3.0,3.0,30.0,64.0,0.3,0.861872136592865,0.862217128276825,0.8683834075927734,0.3154207468032837,0.32392820715904236,0.8762137529443387,0.8622171297622457,410.5840947628021
3.0,1.0,30.0,64.0,0.5,0.8578442335128784,0.8602520227432251,0.8469241857528687,0.33466657996177673,0.3167267143726349,0.8738899486397916,0.8602520045819015,429.83105850219727
3.0,2.0,30.0,64.0,0.5,0.8702054619789124,0.8501861691474915,0.8741058707237244,0.30961981415748596,0.3326379954814911,0.8658661847905176,0.8501861930678889,440.45192432403564
3.0,3.0,30.0,64.0,0.5,0.8525114059448242,0.8541964888572693,0.8412017226219177,0.3483108580112457,0.34643158316612244,0.8686621295125029,0.8541965052993412,424.2571794986725
5.0,1.0,10.0,16.0,0.2,0.8510273694992065,0.8448687195777893,0.8245823383331299,0.3447125256061554,0.36350420117378235,0.8628413991718703,0.8448687350835322,238.51812863349915
5.0,2.0,10.0,16.0,0.2,0.8135464191436768,0.803341269493103,0.7863962054252625,0.4196876287460327,0.42726290225982666,0.8442126792039882,0.8033412887828162,233.3830451965332
5.0,3.0,10.0,16.0,0.2,0.8586377501487732,0.8429594039916992,0.8699284195899963,0.33066120743751526,0.3391868770122528,0.8579510274520071,0.8429594272076373,208.35109186172485
5.0,4.0,10.0,16.0,0.2,0.8208714127540588,0.8381861448287964,0.836515486240387,0.41473016142845154,0.36726322770118713,0.8478648335423405,0.8381861575178997,256.95920729637146
5.0,5.0,10.0,16.0,0.2,0.8203957676887512,0.8089780211448669,0.7983293533325195,0.40842121839523315,0.44463592767715454,0.8505917032131292,0.8089780324737345,240.0604898929596
5.0,1.0,10.0,16.0,0.3,0.8399924039840698,0.8415274620056152,0.8269689679145813,0.37864911556243896,0.3508011996746063,0.857016916411789,0.841527446300716,235.1558964252472
5.0,2.0,10.0,16.0,0.3,0.8527397513389587,0.8210023641586304,0.7935560941696167,0.3437185287475586,0.37516096234321594,0.8592953969269765,0.8210023866348448,254.67602109909058
5.0,3.0,10.0,16.0,0.3,0.8644406199455261,0.8477327227592468,0.8651551604270935,0.32512369751930237,0.34000229835510254,0.8576215395531831,0.8477326968973747,238.12480878829956
