K,Fold,Epoch,Batch,Dropout,Label,Precision,Recall,F1-Score,Support
3,1,20,64,0.3,palsu,0.6668975069252078,0.9102079395085066,0.7697841726618705,1058.0
3,2,20,64,0.3,asli,0.91239597021463,0.8561446773530621,0.8833757421543681,2433.0
3,2,20,64,0.3,palsu,0.7102649006622517,0.8109640831758034,0.7572815533980582,1058.0
3,3,20,64,0.3,asli,0.9315315315315316,0.8499794492396219,0.8888888888888888,2433.0
3,3,20,64,0.3,palsu,0.7128245476003147,0.8563327032136105,0.7780163160154573,1058.0
3,1,20,64,0.5,asli,0.9071322436849926,0.5016433853738702,0.6460317460317461,2434.0
3,1,20,64,0.5,palsu,0.434762348555452,0.8818525519848771,0.5823970037453183,1058.0
3,2,20,64,0.5,asli,0.9273404750815092,0.8183312782572956,0.8694323144104803,2433.0
3,2,20,64,0.5,palsu,0.6711309523809523,0.8525519848771267,0.7510407993338885,1058.0
3,3,20,64,0.5,asli,0.9387379087977892,0.8376489930127414,0.8853171155516942,2433.0
3,3,20,64,0.5,palsu,0.7007575757575758,0.8742911153119093,0.7779646761984861,1058.0
3,1,30,16,0.2,asli,0.9441048034934498,0.8882497945768283,0.9153259949195596,2434.0
3,1,30,16,0.2,palsu,0.7737104825291181,0.8790170132325141,0.8230088495575221,1058.0
3,2,30,16,0.2,asli,0.7280276816608997,0.8647759967118783,0.7905316550817209,2433.0
3,2,30,16,0.2,palsu,0.4525790349417637,0.2570888468809074,0.3279083785412899,1058.0
3,3,30,16,0.2,asli,0.9455714992577932,0.7854500616522812,0.858105074090705,2433.0
3,3,30,16,0.2,palsu,0.6448979591836734,0.8960302457466919,0.75,1058.0
3,1,30,16,0.3,asli,0.9427312775330396,0.8792111750205424,0.9098639455782312,2434.0
3,1,30,16,0.3,palsu,0.7594108019639935,0.8771266540642723,0.8140350877192982,1058.0
3,2,30,16,0.3,asli,0.95821325648415,0.8199753390875463,0.8837209302325582,2433.0
3,2,30,16,0.3,palsu,0.6891412349183819,0.9177693761814744,0.7871909201459262,1058.0
3,3,30,16,0.3,asli,0.9251817015818726,0.8894369091656391,0.9069572506286672,2433.0
3,3,30,16,0.3,palsu,0.7664930555555556,0.834593572778828,0.7990950226244344,1058.0
3,1,30,16,0.5,asli,0.9483461712732216,0.8599013968775678,0.9019607843137256,2434.0
3,1,30,16,0.5,palsu,0.7346303501945526,0.8922495274102079,0.8058045241143833,1058.0
3,2,30,16,0.5,asli,0.9311562224183584,0.8672420879572544,0.8980634177484571,2433.0
3,2,30,16,0.5,palsu,0.7363265306122448,0.8525519848771267,0.7901883486640385,1058.0
3,3,30,16,0.5,asli,0.9416817359855336,0.8561446773530621,0.8968783638320775,2433.0
3,3,30,16,0.5,palsu,0.7263487099296325,0.8780718336483931,0.7950363714163458,1058.0
3,1,30,32,0.2,asli,0.9494252873563218,0.8483976992604766,0.8960729008461705,2434.0
3,1,30,32,0.2,palsu,0.7198177676537585,0.8960302457466919,0.7983157894736842,1058.0
3,2,30,32,0.2,asli,0.9393203883495146,0.7953144266337855,0.8613398620075673,2433.0
3,2,30,32,0.2,palsu,0.6519916142557652,0.8818525519848771,0.7496986741663318,1058.0
3,3,30,32,0.2,asli,0.9491292392300642,0.8512124948623099,0.8975081256771398,2433.0
3,3,30,32,0.2,palsu,0.7234530175706646,0.8950850661625709,0.8001689902830588,1058.0
3,1,30,32,0.3,asli,0.9585101367279584,0.8352506162695152,0.8926454445664105,2434.0
3,1,30,32,0.3,palsu,0.7075127644055434,0.9168241965973536,0.7986825854261013,1058.0
3,2,30,32,0.3,asli,0.9157801418439716,0.8491574188244965,0.8812113457027084,2433.0
3,2,30,32,0.3,palsu,0.702834008097166,0.8204158790170132,0.7570867858700393,1058.0
3,3,30,32,0.3,asli,0.9256786826880284,0.854911631730374,0.8888888888888888,2433.0
3,3,30,32,0.3,palsu,0.7162379421221865,0.8421550094517959,0.7741094700260643,1058.0
3,1,30,32,0.5,asli,0.9509981851179672,0.8611339359079704,0.903837861147046,2434.0
3,1,30,32,0.5,palsu,0.7375776397515528,0.8979206049149339,0.8098891730605285,1058.0
3,2,30,32,0.5,asli,0.9382433668801464,0.8429921907110564,0.8880710110413509,2433.0
3,2,30,32,0.5,palsu,0.70727969348659,0.8724007561436673,0.7812103258569615,1058.0
3,3,30,32,0.5,asli,0.936550491510277,0.8614878750513769,0.8974523656604582,2433.0
3,3,30,32,0.5,palsu,0.7310454908220272,0.8657844990548205,0.7927304197317179,1058.0
3,1,30,64,0.2,asli,0.917802385008518,0.8853738701725554,0.9012965286491008,2434.0
3,1,30,64,0.2,palsu,0.7561188811188811,0.8175803402646503,0.7856494096276113,1058.0
3,2,30,64,0.2,asli,0.9276729559748428,0.8487464036169339,0.8864563210989482,2433.0
3,2,30,64,0.2,palsu,0.7090909090909091,0.8478260869565217,0.7722772277227723,1058.0
3,3,30,64,0.2,asli,0.944889307583608,0.8244965063707357,0.8805970149253731,2433.0
3,3,30,64,0.2,palsu,0.6878654970760234,0.889413988657845,0.7757625721352019,1058.0
