K,Fold,Epoch,Batch,Dropout,Train Accuracy,Val Accuracy,Train Loss,Val Loss,Precision,Recall,Durasi (detik)
3.0,3.0,20.0,32.0,0.5,0.8669,0.8476,0.3131,0.3533,0.8776232568096028,0.8476081352048124,351.99
3.0,1.0,20.0,64.0,0.2,0.5536,0.6655,0.6848,0.6692,0.6896910300294481,0.6655211912943871,341.73
3.0,2.0,20.0,64.0,0.2,0.8607,0.8522,0.3322,0.3317,0.8669944146259093,0.852191349183615,407.81
3.0,3.0,20.0,64.0,0.2,0.8588,0.8359,0.328,0.3684,0.8580890291238904,0.8358636493841306,323.01
3.0,1.0,20.0,64.0,0.3,0.8406,0.8477,0.3583,0.3385,0.8573704236690222,0.847651775486827,332.55
3.0,2.0,20.0,64.0,0.3,0.8538,0.8164,0.3383,0.3986,0.8530888578663788,0.8163849899742194,357.09
3.0,3.0,20.0,64.0,0.3,0.8442,0.8298,0.365,0.3785,0.8549469509344917,0.8298481810369521,353.82
3.0,1.0,20.0,64.0,0.5,0.8555,0.8502,0.3436,0.3399,0.8683156941521729,0.8502290950744559,367.14
3.0,2.0,20.0,64.0,0.5,0.8622,0.8559,0.3274,0.3344,0.8671491826148414,0.8559152105413922,366.1
3.0,3.0,20.0,64.0,0.5,0.8523,0.8445,0.34,0.338,0.8612670821685116,0.8444571755943856,403.49
3.0,1.0,30.0,16.0,0.2,0.8958,0.8723,0.2539,0.3124,0.8888499135030923,0.8722794959908362,943.7
3.0,2.0,30.0,16.0,0.2,0.8979,0.8668,0.2545,0.3003,0.8761426735923531,0.8668003437410484,933.08
3.0,3.0,30.0,16.0,0.2,0.7927,0.7903,0.464,0.4444,0.8254425995848659,0.7903179604697794,936.96
3.0,1.0,30.0,16.0,0.3,0.8947,0.8651,0.2503,0.3201,0.8830053196482247,0.8651202749140894,932.31
3.0,2.0,30.0,16.0,0.3,0.8934,0.8751,0.2597,0.3098,0.8748487810017997,0.8751074190776282,872.47
3.0,3.0,30.0,16.0,0.3,0.8904,0.8691,0.2603,0.3165,0.884777891544582,0.8690919507304498,942.67
3.0,1.0,30.0,16.0,0.5,0.8695,0.8806,0.308,0.2798,0.8829107777612081,0.8805841924398625,939.26
3.0,2.0,30.0,16.0,0.5,0.9045,0.8742,0.2418,0.319,0.88306420531002,0.8742480664566027,893.62
3.0,3.0,30.0,16.0,0.5,0.8915,0.8662,0.2566,0.3371,0.8792261803518097,0.866227441993698,914.99
3.0,1.0,30.0,32.0,0.2,0.8797,0.8674,0.2812,0.2988,0.8837077682491498,0.8674112256586484,539.96
3.0,2.0,30.0,32.0,0.2,0.8908,0.8625,0.2688,0.3161,0.8758901144635329,0.8625035806359209,549.64
3.0,3.0,30.0,32.0,0.2,0.8831,0.8631,0.2711,0.3045,0.870601665199403,0.8630764823832713,604.65
3.0,1.0,30.0,32.0,0.3,0.8416,0.8325,0.3697,0.3624,0.8602146327242377,0.8324742268041238,601.48
3.0,2.0,30.0,32.0,0.3,0.8907,0.8281,0.269,0.3773,0.8630159411475133,0.8281294757949011,640.22
3.0,3.0,30.0,32.0,0.3,0.8873,0.8745,0.2667,0.3113,0.8840017765082331,0.8745345173302779,544.97
3.0,1.0,30.0,32.0,0.5,0.8764,0.8677,0.2944,0.3086,0.8819245278143812,0.8676975945017182,570.8
3.0,2.0,30.0,32.0,0.5,0.8819,0.8404,0.287,0.3593,0.8680951130509613,0.8404468633629333,566.81
3.0,3.0,30.0,32.0,0.5,0.8801,0.8717,0.2869,0.3082,0.8854052244154944,0.8716700085935262,557.38
3.0,1.0,30.0,64.0,0.2,0.8634,0.8488,0.3154,0.3625,0.8775926274346642,0.8487972508591065,800.24
3.0,2.0,30.0,64.0,0.2,0.8841,0.8636,0.2901,0.3218,0.8674297629274496,0.8636493841306216,838.09
3.0,3.0,30.0,64.0,0.2,0.8727,0.8665,0.2984,0.3173,0.8787551841119018,0.8665138928673732,857.79
3.0,1.0,30.0,64.0,0.3,0.8694,0.88,0.3145,0.2891,0.8873946359085455,0.8800114547537228,891.91
3.0,2.0,30.0,64.0,0.3,0.8818,0.8556,0.2919,0.3184,0.8667929753832695,0.855628759667717,850.31
3.0,3.0,30.0,64.0,0.3,0.8729,0.8548,0.3059,0.3378,0.8776900307784407,0.8547694070466915,916.21
3.0,1.0,30.0,64.0,0.5,0.8722,0.8666,0.314,0.322,0.8789559507765806,0.8665521191294387,968.97
3.0,2.0,30.0,64.0,0.5,0.8747,0.8362,0.3057,0.3654,0.8663856775756962,0.8361501002578058,1004.34
3.0,3.0,30.0,64.0,0.5,0.8671,0.8447,0.3081,0.3509,0.8714327008220388,0.8447436264680608,979.9
5.0,1.0,10.0,16.0,0.2,0.8626,0.8582,0.3251,0.3293,0.877285929347465,0.8582338902147971,399.1
