komentar,cleaned,tokens,normalized,stemmed,cleaned_final
"barang sesuai harga masalah hanya di expedisi lama ,kurirnya kebanyakan nongkrong",barang sesuai harga masalah hanya di expedisi lama kurirnya kebanyakan nongkrong,"['barang', 'sesuai', 'harga', 'masalah', 'hanya', 'di', 'expedisi', 'lama', 'kurirnya', 'kebanyakan', 'nongkrong']","['barang', 'sesuai', 'harga', 'masalah', 'hanya', 'di', 'expedisi', 'lama', 'kurirnya', 'kebanyakan', 'nongkrong']","['barang', 'sesuai', 'harga', 'masalah', 'hanya', 'di', 'expedisi', 'lama', 'kurir', 'banyak', 'nongkrong']",barang sesuai harga masalah hanya di expedisi lama kurir banyak nongkrong
"barang sesuai dengan pesanan,semoga tetap berkualitas terus",barang sesuai dengan pesanan semoga tetap berkualitas terus,"['barang', 'sesuai', 'dengan', 'pesanan', 'semoga', 'tetap', 'berkualitas', 'terus']","['barang', 'sesuai', 'dengan', 'pesanan', 'semoga', 'tetap', 'berkualitas', 'terus']","['barang', 'sesuai', 'dengan', 'pesan', 'moga', 'tetap', 'kualitas', 'terus']",barang sesuai dengan pesan moga tetap kualitas terus
barang nya bagus..cuma warna nya tidak sesuai dgn gambar 🙏,barang nya bagus cuma warna nya tidak sesuai dgn gambar,"['barang', 'nya', 'bagus', 'cuma', 'warna', 'nya', 'tidak', 'sesuai', 'dgn', 'gambar']","['barang', 'nya', 'bagus', 'cuma', 'warna', 'nya', 'tidak', 'sesuai', 'dgn', 'gambar']","['barang', 'nya', 'bagus', 'cuma', 'warna', 'nya', 'tidak', 'sesuai', 'dgn', 'gambar']",barang nya bagus cuma warna nya tidak sesuai dgn gambar
"pengiriman cepat mantull, respon penjual ok",pengiriman cepat mantull respon penjual ok,"['pengiriman', 'cepat', 'mantull', 'respon', 'penjual', 'ok']","['pengiriman', 'cepat', 'mantull', 'respon', 'penjual', 'oke']","['kirim', 'cepat', 'mantull', 'respon', 'jual', 'oke']",kirim cepat mantull respon jual oke
"barang cepat nyampek, barang bagus semoga awet, dan terimakasih bonusnya",barang cepat nyampek barang bagus semoga awet dan terimakasih bonusnya,"['barang', 'cepat', 'nyampek', 'barang', 'bagus', 'semoga', 'awet', 'dan', 'terimakasih', 'bonusnya']","['barang', 'cepat', 'nyampek', 'barang', 'bagus', 'semoga', 'awet', 'dan', 'terimakasih', 'bonusnya']","['barang', 'cepat', 'nyampek', 'barang', 'bagus', 'moga', 'awet', 'dan', 'terimakasih', 'bonus']",barang cepat nyampek barang bagus moga awet dan terimakasih bonus
lumayan lah dengan kualitas barang harga di atas,lumayan lah dengan kualitas barang harga di atas,"['lumayan', 'lah', 'dengan', 'kualitas', 'barang', 'harga', 'di', 'atas']","['lumayan', 'lah', 'dengan', 'kualitas', 'barang', 'harga', 'di', 'atas']","['lumayan', 'lah', 'dengan', 'kualitas', 'barang', 'harga', 'di', 'atas']",lumayan lah dengan kualitas barang harga di atas
barang bukan orinya. karet bawah keras dan mudah lepas,barang bukan orinya karet bawah keras dan mudah lepas,"['barang', 'bukan', 'orinya', 'karet', 'bawah', 'keras', 'dan', 'mudah', 'lepas']","['barang', 'bukan', 'orinya', 'karet', 'bawah', 'keras', 'dan', 'mudah', 'lepas']","['barang', 'bukan', 'orinya', 'karet', 'bawah', 'keras', 'dan', 'mudah', 'lepas']",barang bukan orinya karet bawah keras dan mudah lepas
"Bagus banget, worth it sumpah, thank you seller✨",bagus banget worth it sumpah thank you seller,"['bagus', 'banget', 'worth', 'it', 'sumpah', 'thank', 'you', 'seller']","['bagus', 'banget', 'worth', 'it', 'sumpah', 'thank', 'you', 'seller']","['bagus', 'banget', 'worth', 'it', 'sumpah', 'thank', 'you', 'seller']",bagus banget worth it sumpah thank you seller
barang sdh sampai semoga awet tp jne agak lama ngirimnya,barang sdh sampai semoga awet tp jne agak lama ngirimnya,"['barang', 'sdh', 'sampai', 'semoga', 'awet', 'tp', 'jne', 'agak', 'lama', 'ngirimnya']","['barang', 'sudah', 'sampai', 'semoga', 'awet', 'tapi', 'jne', 'agak', 'lama', 'ngirimnya']","['barang', 'sudah', 'sampai', 'moga', 'awet', 'tapi', 'jne', 'agak', 'lama', 'ngirimnya']",barang sudah sampai moga awet tapi jne agak lama ngirimnya
barang sesuai deskripsi,barang sesuai deskripsi,"['barang', 'sesuai', 'deskripsi']","['barang', 'sesuai', 'deskripsi']","['barang', 'sesuai', 'deskripsi']",barang sesuai deskripsi
gila sih bangus banget melebihi ekspektasi,gila sih bangus banget melebihi ekspektasi,"['gila', 'sih', 'bangus', 'banget', 'melebihi', 'ekspektasi']","['gila', 'sih', 'bangus', 'banget', 'melebihi', 'ekspektasi']","['gila', 'sih', 'bangus', 'banget', 'lebih', 'ekspektasi']",gila sih bangus banget lebih ekspektasi
Bagus modelnya dan enak dipakai,bagus modelnya dan enak dipakai,"['bagus', 'modelnya', 'dan', 'enak', 'dipakai']","['bagus', 'modelnya', 'dan', 'enak', 'dipakai']","['bagus', 'model', 'dan', 'enak', 'pakai']",bagus model dan enak pakai
"isi paket lengkap, kualitas mayan lah,",isi paket lengkap kualitas mayan lah,"['isi', 'paket', 'lengkap', 'kualitas', 'mayan', 'lah']","['isi', 'paket', 'lengkap', 'kualitas', 'mayan', 'lah']","['isi', 'paket', 'lengkap', 'kualitas', 'mayan', 'lah']",isi paket lengkap kualitas mayan lah
puas beli sepatu di toko.imi murah bnyk bonus nya,puas beli sepatu di toko imi murah bnyk bonus nya,"['puas', 'beli', 'sepatu', 'di', 'toko', 'imi', 'murah', 'bnyk', 'bonus', 'nya']","['puas', 'beli', 'sepatu', 'di', 'toko', 'imi', 'murah', 'bnyk', 'bonus', 'nya']","['puas', 'beli', 'sepatu', 'di', 'toko', 'imi', 'murah', 'bnyk', 'bonus', 'nya']",puas beli sepatu di toko imi murah bnyk bonus nya
"Pengiriman cepat, kualitas bagus.",pengiriman cepat kualitas bagus,"['pengiriman', 'cepat', 'kualitas', 'bagus']","['pengiriman', 'cepat', 'kualitas', 'bagus']","['kirim', 'cepat', 'kualitas', 'bagus']",kirim cepat kualitas bagus
